Date,Dow,France,Germany,S&P 500,Hong Kong,NASDAQ,Korea,Japan,Shanghai,Philadelphia,Taiwan,Future,OpenChange,selfDef,kMeans
2013/4/9,0.41,0.21,-0.33,0.35,0.7,0.48,0.11,0.0,0.64,0.94,-0.31,-0.36,44.41,3,3
2013/4/10,0.88,2.39,2.27,1.22,0.75,1.83,0.77,0.73,0.02,2.15,0.31,0.26,35.78,3,3
2013/4/11,0.42,2.41,0.78,0.36,0.3,0.09,0.73,1.96,-0.3,-0.39,1.36,1.19,3.14,0,0
2013/4/12,0.0,-0.19,-1.61,-0.28,-0.06,-0.16,-1.31,-0.47,-0.58,-0.46,-0.46,-0.41,-6.31,0,0
2013/4/15,-1.79,-0.2,-0.41,-2.3,-1.43,-2.38,-0.2,-1.55,-1.13,-2.53,-0.74,-0.27,-72.62,1,1
2013/4/16,1.08,0.03,-0.39,1.43,-0.46,1.5,0.09,-0.41,0.59,2.17,0.48,0.24,21.76,3,3
2013/4/17,-0.94,-2.1,-2.34,-1.43,-0.47,-1.84,0.08,1.22,-0.05,-3.29,0.1,0.44,-27.59,1,1
2013/4/18,-0.56,0.22,-0.39,-0.67,-0.26,-1.2,-1.24,-1.22,0.17,-0.9,-0.23,-0.05,77.55,3,4
2013/4/19,0.07,1.88,-0.18,0.88,2.33,1.25,0.35,0.73,2.14,0.75,1.79,2.5,45.3,3,3
2013/4/22,0.14,1.04,0.24,0.47,0.14,0.86,1.03,1.89,-0.11,1.06,0.5,0.14,-14.46,0,0
2013/4/23,1.05,4.15,2.41,1.04,-1.08,1.11,-0.4,-0.29,-2.57,2.1,-0.35,-0.34,34.63,3,3
2013/4/24,-0.29,4.97,1.32,0.0,1.73,0.01,0.87,2.32,1.55,1.26,1.02,0.82,-8.33,0,0
2013/4/25,0.17,1.51,0.95,0.4,0.98,0.62,0.84,0.6,-0.86,0.99,-0.02,0.15,12.72,0,0
2013/4/26,0.08,-0.41,-0.23,-0.18,0.65,-0.33,-0.36,-0.3,-0.97,-1.07,0.0,-0.09,21.65,3,3
2013/5/2,0.89,0.4,0.61,0.94,-0.3,1.26,-0.34,-0.76,-0.17,1.38,0.43,0.27,29.0,3,3
